unique.split,parent.split,host,parent.host
249,unassigned_region-SPLIT1,249,unassigned_region
111,unassigned_region-SPLIT1,111,unassigned_region
432,431,432,431
431,111,431,111
568,111,568,111
455,568,455,568
1,92,1,92
92,unassigned_region-SPLIT1,92,unassigned_region
33,unassigned_region-SPLIT1,33,unassigned_region
230,unassigned_region-SPLIT2,230,unassigned_region
64,unassigned_region-SPLIT2,64,unassigned_region
205,64,205,64
999,64,999,64
635,33,635,33
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,33,unassigned_region,33
