unique.split,parent.split,host,parent.host
86-SPLIT1,unassigned_region-SPLIT1,86,unassigned_region
135,unassigned_region-SPLIT2,135,unassigned_region
808,unassigned_region-SPLIT2,808,unassigned_region
463,808,463,808
219,463,219,463
230,unassigned_region-SPLIT3,230,unassigned_region
510,unassigned_region-SPLIT3,510,unassigned_region
108,unassigned_region-SPLIT1,108,unassigned_region
15,108,15,108
874,15,874,15
335,15,335,15
247,15,247,15
714,15,714,15
198-SPLIT1,15,198,15
198-SPLIT2,15,198,15
86-SPLIT2,unassigned_region-SPLIT4,86,unassigned_region
711,unassigned_region-SPLIT4,711,unassigned_region
275,711,275,711
708,108,708,108
86-SPLIT3,unassigned_region-SPLIT1,86,unassigned_region
157,6,157,6
6,unassigned_region-SPLIT1,6,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,86-SPLIT1,unassigned_region,86
unassigned_region-SPLIT3,86-SPLIT1,unassigned_region,86
unassigned_region-SPLIT4,108,unassigned_region,108
