unique.split,parent.split,host,parent.host
947,unassigned_region-SPLIT1,947,unassigned_region
833,947,833,947
732,947,732,947
738,732,738,732
26,732,26,732
125,732,125,732
22,12,22,12
12,unassigned_region-SPLIT2,12,unassigned_region
92,12,92,12
47,92,47,92
6,unassigned_region-SPLIT2,6,unassigned_region
17,unassigned_region-SPLIT2,17,unassigned_region
100,17,100,17
224,unassigned_region-SPLIT3,224,unassigned_region
250-SPLIT1,unassigned_region-SPLIT3,250,unassigned_region
669,unassigned_region-SPLIT3,669,unassigned_region
250-SPLIT2,unassigned_region-SPLIT4,250,unassigned_region
108,unassigned_region-SPLIT4,108,unassigned_region
611,unassigned_region-SPLIT4,611,unassigned_region
230,unassigned_region-SPLIT1,230,unassigned_region
430,unassigned_region-SPLIT1,430,unassigned_region
64,unassigned_region-SPLIT1,64,unassigned_region
95,unassigned_region-SPLIT1,95,unassigned_region
19,95,19,95
53,19,53,19
2-SPLIT2,unassigned_region-SPLIT1,2,unassigned_region
15,2-SPLIT2,15,2
2-SPLIT1,15,2,15
313,2-SPLIT2,313,2
931,2-SPLIT2,931,2
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,125,unassigned_region,125
unassigned_region-SPLIT3,125,unassigned_region,125
unassigned_region-SPLIT4,669,unassigned_region,669
